Empleado,Fecha,Hora_Entrada,Hora_Salida,Estado,Departamento
Juan Pérez,2024-01-01,N/A,N/A,Ausente,RRHH
Juan Pérez,2024-01-02,08:04,17:14,Presente,RRHH
Juan Pérez,2024-01-03,08:12,17:32,Presente,RRHH
Juan Pérez,2024-01-04,08:10,18:58,Presente,RRHH
Juan Pérez,2024-01-05,08:08,18:07,Presente,RRHH
Juan Pérez,2024-01-08,08:06,18:51,Presente,RRHH
Juan Pérez,2024-01-09,08:01,17:02,Presente,RRHH
Juan Pérez,2024-01-10,08:11,18:54,Presente,RRHH
Juan Pérez,2024-01-11,08:08,18:05,Presente,RRHH
Juan Pérez,2024-01-12,09:05,18:17,Permiso,RRHH
Juan Pérez,2024-01-15,08:11,18:01,Presente,RRHH
Juan Pérez,2024-01-16,08:05,17:50,Presente,RRHH
Juan Pérez,2024-01-17,08:14,17:18,Presente,RRHH
Juan Pérez,2024-01-18,08:07,17:02,Presente,RRHH
Juan Pérez,2024-01-19,08:10,17:44,Presente,RRHH
Juan Pérez,2024-01-22,08:14,17:41,Presente,RRHH
Juan Pérez,2024-01-23,08:05,18:00,Presente,RRHH
Juan Pérez,2024-01-24,09:20,17:12,Tarde,RRHH
Juan Pérez,2024-01-25,08:07,18:43,Presente,RRHH
Juan Pérez,2024-01-26,08:11,17:53,Presente,RRHH
Juan Pérez,2024-01-29,08:09,18:43,Presente,RRHH
Juan Pérez,2024-01-30,08:05,17:45,Presente,RRHH
Juan Pérez,2024-01-31,08:08,18:55,Presente,RRHH
Juan Pérez,2024-02-01,08:11,18:30,Presente,RRHH
Juan Pérez,2024-02-02,08:11,18:44,Presente,RRHH
Juan Pérez,2024-02-05,08:04,17:56,Presente,RRHH
Juan Pérez,2024-02-06,08:03,17:13,Presente,RRHH
Juan Pérez,2024-02-07,08:05,18:10,Presente,RRHH
Juan Pérez,2024-02-08,08:12,18:24,Presente,RRHH
Juan Pérez,2024-02-09,08:00,18:50,Presente,RRHH
Juan Pérez,2024-02-12,08:01,18:21,Presente,RRHH
Juan Pérez,2024-02-13,08:09,18:53,Presente,RRHH
Juan Pérez,2024-02-14,08:10,18:50,Presente,RRHH
Juan Pérez,2024-02-15,08:10,18:28,Presente,RRHH
Juan Pérez,2024-02-16,08:14,17:55,Presente,RRHH
Juan Pérez,2024-02-19,08:07,18:21,Presente,RRHH
Juan Pérez,2024-02-20,08:07,17:30,Presente,RRHH
Juan Pérez,2024-02-21,08:11,18:30,Presente,RRHH
Juan Pérez,2024-02-22,08:08,17:13,Presente,RRHH
