Estudiante,Materia,Parcial1,Parcial2,Parcial3,Final
Ana García,Matemáticas,42,42,70,54
Ana García,Física,95,92,53,74
Ana García,Química,78,88,83,99
Ana García,Historia,90,88,46,91
Ana García,Literatura,72,61,64,66
Luis Pérez,Matemáticas,71,46,87,67
Luis Pérez,Física,69,43,91,61
Luis Pérez,Química,51,46,62,80
Luis Pérez,Historia,62,86,77,75
Luis Pérez,Literatura,44,94,79,67
María López,Matemáticas,41,52,80,55
María López,Física,91,45,56,43
María López,Química,86,52,47,41
María López,Historia,40,90,42,89
María López,Literatura,92,44,77,52
Carlos Ruiz,Matemáticas,49,42,48,75
Carlos Ruiz,Física,91,54,41,67
Carlos Ruiz,Química,66,63,90,56
Carlos Ruiz,Historia,41,79,94,54
Carlos Ruiz,Literatura,64,44,98,71
Sofía Martínez,Matemáticas,82,40,71,94
Sofía Martínez,Física,60,87,76,43
Sofía Martínez,Química,76,93,59,55
Sofía Martínez,Historia,99,56,90,95
Sofía Martínez,Literatura,91,41,50,63
Pedro Sánchez,Matemáticas,69,59,70,72
Pedro Sánchez,Física,92,79,69,81
Pedro Sánchez,Química,99,60,51,95
Pedro Sánchez,Historia,60,90,82,40
Pedro Sánchez,Literatura,46,57,62,56
Laura Torres,Matemáticas,50,81,46,45
Laura Torres,Física,43,62,83,48
Laura Torres,Química,58,98,89,60
Laura Torres,Historia,86,69,61,55
Laura Torres,Literatura,92,97,45,72
Diego Ramírez,Matemáticas,40,94,57,45
Diego Ramírez,Física,74,50,99,92
Diego Ramírez,Química,88,89,76,57
Diego Ramírez,Historia,87,52,76,77
Diego Ramírez,Literatura,82,89,58,84
Carmen Flores,Matemáticas,56,42,76,63
Carmen Flores,Física,52,64,89,69
Carmen Flores,Química,42,77,43,90
Carmen Flores,Historia,85,81,62,83
Carmen Flores,Literatura,97,93,51,93
Miguel Ángel Castro,Matemáticas,73,99,56,87
Miguel Ángel Castro,Física,74,61,73,68
Miguel Ángel Castro,Química,59,63,76,98
Miguel Ángel Castro,Historia,68,43,40,45
Miguel Ángel Castro,Literatura,96,72,54,56
